,rst_name,weekday,hours,platform
1,심마니,04.02 (화),영업시간: 14:00 - 04:00,1
2,심마니,04.03 (수),영업시간: 14:00 - 04:00,1
3,심마니,04.04 (목),영업시간: 14:00 - 04:00,1
4,심마니,04.05 (금),영업시간: 14:00 - 04:00,1
5,심마니,04.06 (토),영업시간: 14:00 - 04:00,1
6,심마니,04.07 (일),영업시간: 14:00 - 04:00,1
0,엘루이 비스트로,[오늘] 04.01 (월),영업시간: 17:00 - 02:00,1.0
1,엘루이 비스트로,04.02 (화),영업시간: 17:00 - 02:00,1.0
2,,,,
3,엘루이 비스트로,04.03 (수),영업시간: 17:00 - 02:00,1.0
4,,,,
5,엘루이 비스트로,04.04 (목),영업시간: 17:00 - 02:00,1.0
6,,,,
7,엘루이 비스트로,04.05 (금),영업시간: 17:00 - 04:00,1.0
8,,,,
9,엘루이 비스트로,04.06 (토),영업시간: 16:00 - 04:00,1.0
10,,,,
11,엘루이 비스트로,04.07 (일),영업시간: 16:00 - 02:00,1.0
12,,,,
0,서울230,[오늘] 04.01 (월),영업시간: 17:00 - 22:00,1
1,서울230,04.02 (화),영업시간: 17:00 - 22:00,1
2,서울230,04.03 (수),영업시간: 17:00 - 22:00,1
3,서울230,04.04 (목),영업시간: 17:00 - 22:00,1
4,서울230,04.05 (금),영업시간: 17:00 - 22:00,1
5,서울230,04.06 (토),영업시간: 17:00 - 22:00,1
6,서울230,04.07 (일),영업시간: 17:00 - 22:00,1
0,하노이맥주밤거리 건대점,[오늘] 04.01 (월),영업시간 확인 필요,1
1,하노이맥주밤거리 건대점,04.02 (화),확인 필요,1
2,하노이맥주밤거리 건대점,04.03 (수),확인 필요,1
3,하노이맥주밤거리 건대점,04.04 (목),확인 필요,1
4,하노이맥주밤거리 건대점,04.05 (금),확인 필요,1
5,하노이맥주밤거리 건대점,04.06 (토),확인 필요,1
6,하노이맥주밤거리 건대점,04.07 (일),확인 필요,1
0,하루,[오늘] 04.01 (월),영업시간: 17:00 - 01:00,1
1,하루,04.02 (화),영업시간: 17:00 - 01:00,1
2,하루,04.03 (수),영업시간: 17:00 - 02:00,1
3,하루,04.04 (목),영업시간: 17:00 - 02:00,1
4,하루,04.05 (금),영업시간: 17:00 - 02:00,1
5,하루,04.06 (토),영업시간: 17:00 - 02:00,1
6,하루,04.07 (일),영업시간: 17:00 - 01:00,1
0,타스 더안주셀렉트샵,[오늘] 04.01 (월),영업시간: 11:00 - 00:00,1.0
1,타스 더안주셀렉트샵,04.02 (화),영업시간: 11:00 - 00:00,1.0
2,,,,
3,,,,
4,타스 더안주셀렉트샵,04.03 (수),영업시간: 11:00 - 00:00,1.0
5,,,,
6,,,,
7,타스 더안주셀렉트샵,04.04 (목),영업시간: 11:00 - 00:00,1.0
8,,,,
9,,,,
10,타스 더안주셀렉트샵,04.05 (금),영업시간: 11:00 - 00:00,1.0
11,,,,
12,,,,
13,타스 더안주셀렉트샵,04.06 (토),영업시간: 17:00 - 00:00,1.0
14,,,,
15,타스 더안주셀렉트샵,04.07 (일),휴무일,1.0
0,일양전,[오늘] 04.01 (월),휴무일,1.0
1,일양전,04.02 (화),영업시간: 17:00 - 00:00,1.0
2,,,,
3,일양전,04.03 (수),영업시간: 17:00 - 00:00,1.0
4,,,,
5,일양전,04.04 (목),영업시간: 17:00 - 00:00,1.0
6,,,,
7,일양전,04.05 (금),영업시간: 17:00 - 01:00,1.0
8,,,,
9,일양전,04.06 (토),영업시간: 17:00 - 01:00,1.0
10,,,,
11,일양전,04.07 (일),영업시간: 17:00 - 00:00,1.0
12,,,,
0,폼프리츠,[오늘] 04.01 (월),영업시간 확인 필요,1
1,폼프리츠,04.02 (화),확인 필요,1
2,폼프리츠,04.03 (수),확인 필요,1
3,폼프리츠,04.04 (목),확인 필요,1
4,폼프리츠,04.05 (금),확인 필요,1
5,폼프리츠,04.06 (토),확인 필요,1
6,폼프리츠,04.07 (일),확인 필요,1
0,육회한연어,[오늘] 04.01 (월),영업시간: 15:30 - 05:00,1
1,육회한연어,04.02 (화),영업시간: 15:30 - 05:00,1
2,육회한연어,04.03 (수),영업시간: 15:30 - 05:00,1
3,육회한연어,04.04 (목),영업시간: 15:30 - 05:00,1
4,육회한연어,04.05 (금),영업시간: 15:30 - 05:00,1
5,육회한연어,04.06 (토),영업시간: 15:30 - 05:00,1
6,육회한연어,04.07 (일),영업시간: 15:30 - 05:00,1
0,972Bar,[오늘] 04.01 (월),영업시간: 18:00 - 04:00,1
1,972Bar,04.02 (화),영업시간: 18:00 - 04:00,1
2,972Bar,04.03 (수),영업시간: 18:00 - 04:00,1
3,972Bar,04.04 (목),영업시간: 18:00 - 04:00,1
4,972Bar,04.05 (금),영업시간: 18:00 - 04:00,1
5,972Bar,04.06 (토),영업시간: 18:00 - 04:00,1
6,972Bar,04.07 (일),영업시간: 18:00 - 04:00,1
0,몽블랙,[오늘] 04.01 (월),영업시간: 18:00 - 05:00,1
1,몽블랙,04.02 (화),영업시간: 18:00 - 05:00,1
2,몽블랙,04.03 (수),영업시간: 18:00 - 05:00,1
3,몽블랙,04.04 (목),영업시간: 18:00 - 05:00,1
4,몽블랙,04.05 (금),영업시간: 18:00 - 05:00,1
5,몽블랙,04.06 (토),영업시간: 18:00 - 05:00,1
6,몽블랙,04.07 (일),영업시간: 18:00 - 05:00,1
0,호호 닭발,[오늘] 04.01 (월),영업시간: 15:00 - 03:00,1
1,호호 닭발,04.02 (화),영업시간: 15:00 - 03:00,1
2,호호 닭발,04.03 (수),영업시간: 15:00 - 03:00,1
3,호호 닭발,04.04 (목),영업시간: 15:00 - 03:00,1
4,호호 닭발,04.05 (금),영업시간: 15:00 - 03:00,1
5,호호 닭발,04.06 (토),영업시간: 15:00 - 03:00,1
6,호호 닭발,04.07 (일),영업시간: 15:00 - 03:00,1
0,평정원,[오늘] 04.01 (월),영업시간: 17:00 - 04:00,1.0
1,평정원,04.02 (화),영업시간: 17:00 - 04:00,1.0
2,,,,
3,평정원,04.03 (수),영업시간: 17:00 - 04:00,1.0
4,,,,
5,평정원,04.04 (목),영업시간: 17:00 - 04:00,1.0
6,,,,
7,평정원,04.05 (금),영업시간: 17:00 - 05:00,1.0
8,,,,
9,평정원,04.06 (토),영업시간: 17:00 - 05:00,1.0
10,,,,
